Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,time_of_day,Customer_Category,Season,Promotion,Member
1000000000,2022-06-20,Michael Young,"['Tea', 'Swim Cap', 'Sandals', 'Slippers']",4,38.27,Cash,Eduardoberg,13:24:15,Adult (30-49),Winter,Discount on Selected Items,No
1000000001,2023-07-23,Lindsay Simmons,"['Band-Aids', 'Lighter Fluid', 'Beef']",3,21.630000000000003,Cash,Mariaton,09:56:29,Young Adult (20-29),Winter,Discount on Selected Items,No
1000000002,2021-10-28,Mrs. Jessica Reed,"['Onion Powder', 'Dish Soap', 'Salt', 'Aluminum Foil', 'Charcoal']",5,43.190000000000005,Mobile Payment,Strongview,18:29:29,Adult (30-49),Summer,BOGO (Buy One Get One),No
1000000003,2022-11-04,Spencer Rowe,"['Apples', 'Tomato Sauce', 'Tape', 'Bug Spray', 'Cumin', 'Trail Mix', 'Underwear', 'Chewing Gum']",8,93.44,Credit Card,North Jeremiah,17:02:19,Senior (65+),Fall,Discount on Selected Items,No
1000000004,2023-09-29,Brenda Jones,"['Bug Spray', 'Bath Mat', 'Multi-Surface Cleaner', 'Sunglasses', 'Laptop Bag', 'Canned Vegetables', 'Mayonnaise']",7,55.56,Debit Card,Sandramouth,19:08:32,Adult (30-49),Fall,BOGO (Buy One Get One),Yes
1000000005,2022-01-30,Lori Gilbert,"['Frozen Pizza', 'Comb', 'Notebook Paper', 'Popsicles', 'Extension Cord', 'Oats', 'Mouthwash']",7,78.92,Debit Card,New Jameschester,11:37:07,Senior (65+),Spring,None,No
1000000006,2022-12-07,Haley Lane,['Binders'],1,8.09,Cash,Rodriguezhaven,13:05:54,Young Adult (20-29),Fall,Discount on Selected Items,No
1000000007,2022-11-28,Shannon Thompson,['Brown Sugar'],1,13.29,Cash,Lake Shawnburgh,15:38:01,Middle-aged (50-64),Fall,BOGO (Buy One Get One),No
1000000008,2023-06-06,Jim Chan,"['Moving Boxes', 'Umbrella', 'Glass Cleaner']",3,29.11,Debit Card,Davidstad,09:11:04,Middle-aged (50-64),Winter,None,Yes
1000000009,2020-02-23,Jeffrey Anderson,"['Ketchup', 'Razors', 'Duffel Bag', 'Socks']",4,35.65,Cash,Frederickhaven,18:49:14,Adult (30-49),Winter,BOGO (Buy One Get One),No
1000000010,2020-09-04,Wendy Harris,"['Frozen Fruit', 'Milk', 'Duffel Bag', 'Messenger Bag', 'Carry-on Bag']",5,54.75000000000001,Mobile Payment,South Erikamouth,07:40:11,Young Adult (20-29),Fall,BOGO (Buy One Get One),Yes
1000000011,2023-12-26,Kristina Tucker,"['Baking Powder', 'Detergent', 'Sweatshirt', 'Hangers', 'Flip Flops', 'Dried Cranberries', 'Plastic Utensils', 'Frozen Breakfast Sandwiches', 'Post-it Notes']",9,88.05,Credit Card,South Judith,09:02:04,Adult (30-49),Fall,None,Yes
1000000012,2022-12-26,Gregory Perry,"['Hangers', 'Spaghetti', 'Sunscreen', 'Frozen Vegetables']",4,51.190000000000005,Credit Card,New Michaelbury,07:39:24,Adult (30-49),Fall,None,Yes
1000000013,2021-01-16,Jennifer Sanchez,['Batteries'],1,13.89,Debit Card,North Chelsea,10:04:15,Young Adult (20-29),Winter,None,Yes
1000000014,2022-12-19,Mary Mann,"['Gym Bag', 'Sunscreen', 'Cream Cheese', 'Duct Tape', 'First Aid Kit', 'Toothbrush', 'Olive Oil']",7,72.75999999999999,Debit Card,North Joseph,15:57:10,Adult (30-49),Fall,None,No
1000000015,2020-09-04,Mary Smith,"['Scrubbers', 'Polo Shirt']",2,21.77,Debit Card,New Lisa,16:05:01,Young Adult (20-29),Fall,BOGO (Buy One Get One),Yes
